,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,comfort,worthless,readi,wast,enjoi,wast,recommend,wast,cute,wast,perfect,nasti,comfort,wast,worth,wast,enjoi,wast,excel,wast,enjoi,worthless,easi,complain,big,regret,enjoi,complain,excel,complain,worth,wast,favorit,worthless,excel,hate,worth,worthless,perfect,hate,excel,complain,excel,wast,happi,neg,happi,hate,safe,wast,perfect,neg,higher,hate,big,hate,big,complain,nice,hate
,simpl,complain,happi,upset,impress,upset,perfect,hate,worth,regret,glad,hate,excel,upset,favorit,worthless,worth,hate,amaz,complain,excel,complain,big,nasti,comfort,wast,glad,worthless,glad,regret,happi,nasti,awesom,hate,glad,nasti,perfect,hate,nice,wast,enjoi,worthless,awesom,hate,comfort,wast,comfort,complain,good,nasti,hard,complain,worth,wast,easi,regret,difficult,wast,warm,complain
,big,junk,worth,worthless,glad,worthless,bigger,worthless,enjoi,complain,enjoi,wast,glad,regret,blue,regret,glad,nasti,glad,hate,glad,nasti,impress,worthless,easier,worthless,sturdi,hate,impress,wast,nice,hate,glad,wast,awesom,wast,durabl,upset,regular,nasti,amaz,regret,favorit,worthless,brown,nasti,perfect,nasti,nice,hate,soft,nasti,excel,nasti,expens,wast,perfect,regret,easi,regret
,high,nasti,enjoi,nasti,attract,hate,worth,regret,beauti,worthless,awesom,worthless,favorit,nasti,tini,nasti,hard,regret,awesom,nasti,fantast,hate,wet,wast,worth,hate,perfect,nasti,favorit,nasti,glad,unaccept,excel,regret,amaz,worthless,portabl,wast,happi,regret,impress,unaccept,fantast,regret,older,regret,safe,regret,hard,worthless,worth,regret,extra,worthless,larg,worthless,full,worthless,excel,nasti
,worth,regret,cold,regret,posit,junk,safe,nasti,impress,junk,amaz,regret,long,worthless,real,complain,neat,unaccept,favorit,worthless,awesom,regret,glad,troubl,soft,nasti,amaz,regret,posit,unaccept,excel,regret,posit,nasti,favorit,regret,glad,regret,expens,worthless,favorit,nasti,impress,nasti,enjoi,worthless,excel,troubl,tall,regret,older,worthless,conveni,regret,glad,nasti,fine,mess,impress,mess
,enjoi,unaccept,excel,junk,favorit,troubl,fine,mess,safe,nasti,excel,troubl,amaz,unaccept,white,junk,excel,worthless,fantast,unaccept,impress,troubl,favorit,junk,hard,problem,favorit,troubl,fantast,worthless,enjoi,worthless,fantast,junk,impress,mess,high,mess,excel,junk,awesom,mess,posit,unaccept,extra,problem,enjoi,worthless,big,problem,heavi,junk,hot,junk,amaz,mess,smaller,nasti,awesom,worthless
,import,wast,glad,unaccept,awesom,unaccept,happi,complaint,excel,complaint,posit,unaccept,awesom,junk,fantast,mess,big,troubl,correct,mess,superior,unaccept,amaz,regret,expens,unaccept,fantast,complaint,awesom,junk,amaz,mess,satisfi,mess,correct,troubl,excel,problem,big,mess,satisfi,hate,glad,mess,larg,troubl,worth,problem,happi,junk,expens,unaccept,enjoi,mess,excel,problem,lightweight,problem,amaz,junk
,lightweight,mess,impress,mess,amaz,problem,excel,junk,satisfi,problem,favorit,junk,fantast,complaint,awesom,complaint,correct,mess,impress,problem,correct,complaint,quiet,problem,sturdi,mess,attract,junk,amaz,mess,larg,troubl,attract,troubl,fantast,junk,favorit,junk,worth,troubl,fantast,problem,correct,problem,singl,mess,warm,complaint,short,unaccept,bigger,mess,cute,unaccept,enjoi,unaccept,larger,junk,correct,troubl
,low,problem,awesom,problem,fortun,nasti,difficult,troubl,awesom,unaccept,satisfi,complaint,correct,troubl,cute,unaccept,awesom,complaint,attract,complaint,safe,junk,excel,mess,perfect,complaint,awesom,unaccept,correct,troubl,awesom,junk,fun,unaccept,posit,unaccept,impress,unaccept,quick,problem,attract,complaint,amaz,troubl,hard,unaccept,glad,mess,enjoi,troubl,extra,troubl,easier,troubl,impress,junk,long,unaccept,attract,problem
,excel,troubl,correct,complaint,larg,mess,hard,unaccept,cheap,mess,fantast,problem,impress,mess,bright,problem,satisfi,problem,satisfi,junk,attract,mess,posit,complaint,happi,troubl,impress,problem,satisfi,problem,favorit,complaint,fortun,complaint,satisfi,problem,posit,troubl,glad,unaccept,fortun,junk,satisfi,junk,regular,complaint,amaz,unaccept,worth,mess,super,problem,tini,complaint,posit,complaint,easier,troubl,favorit,unaccept
,glad,complaint,attract,troubl,correct,complaint,glad,problem,glad,troubl,impress,mess,posit,problem,smooth,troubl,fantast,junk,posit,troubl,posit,problem,fantast,unaccept,tight,junk,correct,mess,attract,complaint,impress,problem,correct,problem,fortun,complaint,fantast,complaint,dry,complaint,correct,troubl,excit,complaint,huge,junk,satisfi,junk,posit,complaint,happi,complaint,horribl,problem,awesom,troubl,happi,complaint,posit,complaint
,sturdi,horribl,posit,pure,fantast,local,enjoi,horribl,posit,remot,attract,due,satisfi,useless,excit,real,favorit,neat,superior,tripl,satisfi,excit,correct,noisi,fine,rid,satisfi,low,fortun,odd,fantast,sore,impress,standard,easi,similar,attract,extra,fine,exact,posit,unsaf,attract,excit,worth,brown,white,short,glad,uncomfort,due,pure,fantast,similar,favorit,similar,excel,univers,expens,expens
,black,solid,satisfi,remot,satisfi,due,portabl,fine,sturdi,beauti,superior,pregnant,attract,electron,dark,soft,superior,slow,fun,busi,favorit,smart,awesom,useless,small,regular,fortun,greatest,easi,low,posit,sensit,amaz,short,fun,horribl,awesom,multipl,enjoi,regular,superior,unstabl,fun,busi,safe,stiff,fantast,fine,wide,loos,safe,due,high,horribl,satisfi,unsaf,thin,imposs,satisfi,easiest
,readi,softest,favorit,free,fun,constant,free,small,fantast,flimsi,fun,soft,fortun,rid,attract,gentl,amaz,excit,fortun,accur,fun,horribl,bright,black,cheap,real,posit,bebe,fun,similar,correct,brown,superior,stupid,attract,pure,fun,portabl,extra,dirti,fun,trim,superior,aw,perfect,singl,posit,cute,uncomfort,larger,huge,local,glad,hot,fantast,expens,imposs,larg,fantast,regular
,soft,low,fantast,useless,superior,accur,impress,bigger,amaz,useless,fortun,previou,big,remot,glad,excit,impress,busi,difficult,hot,fortun,smaller,superior,clear,due,accur,fun,est,superior,lazi,import,slow,safe,prettiest,superior,slight,older,electron,soft,cheaper,readi,similar,fortun,useless,glad,slow,correct,bright,excel,smaller,cute,solid,pink,slight,fortun,cheaper,extra,local,fortun,stupid
,posit,real,fortun,white,small,larg,favorit,big,favorit,pleasant,correct,pink,superior,wireless,posit,unsaf,posit,hot,easi,electron,excit,lucki,satisfi,dora,readi,cheap,superior,strong,low,popular,satisfi,unsaf,loud,cubbi,hard,pink,correct,durabl,correct,expens,unstabl,shaki,older,regal,warm,horribl,favorit,tall,correct,larg,small,stiff,similar,imposs,correct,floppi,uncomfort,smaller,easier,fine
,awesom,tricki,difficult,hot,soft,defect,fantast,hollow,correct,local,due,aw,soft,exact,excel,useless,fortun,digit,readi,terrif,cute,singl,fortun,weak,older,crazi,hard,aw,main,prettiest,fortun,hot,big,horribl,handi,expens,larg,young,satisfi,singl,big,odd,busi,free,soft,big,attract,prettiest,satisfi,short,urban,faulti,hard,pink,attract,useless,tight,fine,superior,brown
,favorit,greatest,amaz,squirmi,extra,neat,posit,privat,afford,pink,cheap,cheap,fun,larg,satisfi,squar,fun,analyz,conveni,excit,easi,beauti,fun,slow,glad,similar,easi,local,lazi,decent,fun,horribl,fine,adher,soft,herbal,satisfi,jiggl,posit,excess,easiest,kolcraft,bright,slow,dispos,crazi,fun,unsaf,attract,imposs,enjoi,hot,minor,smaller,superior,larg,safe,rid,fun,quot
,impress,aw,superior,regular,white,similar,satisfi,free,attract,big,durabl,comfi,easi,squar,impress,blue,attract,high,extra,useless,lucki,standard,attract,loud,white,biggest,simpl,cuatro,similar,frustrat,superior,acid,hard,unsaf,expens,boudreaux,amaz,free,awesom,similar,cute,univers,quiet,neat,favorit,natur,fortun,biggest,extra,young,short,breathabl,safe,due,fun,big,heavi,odd,fine,upper
,conveni,terrif,fun,common,due,odd,awesom,easiest,superior,previou,easier,sad,easier,static,red,purpl,difficult,lucki,cute,acid,beauti,anxiou,simpl,horribl,simpl,sick,greatest,se,easier,stupid,sensit,similar,cool,unseen,cute,sensit,fortun,fine,favorit,full,leaki,privat,friendli,bright,wide,dispos,impress,unsturdi,favorit,small,thin,squar,huge,comfi,floppi,regular,soft,solid,regular,similar
,extra,mobi,safe,short,local,dora,attract,busi,high,cute,hard,horribl,low,excit,amaz,thick,conveni,aw,quiet,staticki,smart,defect,plain,faint,low,local,big,prettiest,excit,fresh,hot,imposs,excit,useless,easier,citru,sturdi,flat,impress,simpl,excit,imposs,huge,forumula,fantast,constant,ultim,sceptic,fortun,safe,breathabl,expens,satisfi,univers,extra,unus,cumbersom,difficult,extra,warm
,fantast,excit,hot,exact,big,black,correct,previou,fun,stupid,strong,hot,regular,imposs,correct,curiou,quick,local,tripl,earlier,smaller,useless,loud,brown,long,fine,strong,accur,odd,excit,attract,retail,short,safe,horribl,yeasti,superior,slow,amaz,unabl,small,ruffl,common,freebi,import,easier,awesom,slow,awesom,severli,glad,detail,posit,minor,difficult,acid,expens,small,dry,inaccur
,amaz,bent,warmer,decent,neat,static,fun,sturdi,fortun,funni,easi,durabl,cute,accur,fun,perfumi,hot,crazi,strong,horribl,horribl,rainforest,full,fals,higher,due,tough,sturdi,flat,sceptic,strong,electr,easi,squar,blue,major,tall,expens,easier,horribl,slipperi,easiest,expens,lax,awesom,starter,tight,smart,amaz,difficult,cool,common,singl,aw,sturdi,flat,awesom,cheap,long,horribl
,satisfi,hard,useless,warm,cheap,flimsi,afraid,difficult,hard,softest,larg,rectangular,pricei,low,big,sleek,digit,floppi,excit,nonstop,older,remot,readi,imho,full,cheaper,easier,reliabl,simpl,squirmi,extra,expens,easier,overpr,excit,handi,young,cheaper,exact,rid,extra,horribl,extra,expens,dry,small,superior,hollow,warm,hard,larg,minor,long,unsaf,hard,real,worth,full,warmer,easier
,wide,similar,free,cold,easi,crazi,fortun,high,strong,cheap,cute,strong,useless,clear,superior,unstabl,white,accur,busi,prettiest,big,stupid,fine,crazi,excel,easier,lower,sleigh,mobil,short,regular,real,lower,froggi,similar,infest,safe,larg,fantast,larger,intuit,previou,free,kiddi,full,electron,long,lucki,fantast,big,solid,purpl,favorit,singl,regular,retail,posit,thin,sore,fresh
,attract,expens,true,difficult,full,retail,amaz,stupid,small,afford,white,fluffi,excit,cheaper,yellow,thicker,floppi,comfi,small,similar,singl,frustrat,mobil,remot,cute,brown,cute,angelcar,short,real,expens,aw,safer,excit,durabl,harm,regular,addict,fun,big,frustrat,slow,previou,platex,correct,regular,tall,lowest,impress,tall,hot,regular,awesom,safer,wide,difficult,tall,kolcraft,readi,warmer
,fun,craze,regular,due,low,imposs,wooden,bright,pleasant,horribl,previou,cute,simpl,privat,fortun,insect,wide,terrif,hard,crazi,high,due,cute,unabl,beauti,useless,high,faulti,delic,slow,handi,handi,readi,scallop,fine,frustrat,flat,stupid,hot,brown,easi,unabl,blue,spirit,posit,major,extra,shaki,fun,major,heavier,real,due,mobil,cheaper,sick,quick,easier,bright,overnight
,solid,fine,extra,greasi,fine,homeopath,bright,durabl,newborn,aw,full,harm,handi,regular,safe,thinner,handi,easi,hot,worthwhil,due,safe,remot,wireless,impress,clear,fabul,hard,safe,pooki,proper,larg,wet,sleigh,dispos,straight,free,dispos,warm,young,useless,local,useless,motherhood,slow,aw,lower,unstabl,superior,brown,local,easier,amaz,black,flat,horribl,peg,similar,newborn,exact
,fortun,small,yellow,thicker,safe,damag,superior,kidco,useless,mpore,stabl,useless,imposs,greasi,newborn,easiest,extra,wireless,young,cosco,frustrat,intact,young,due,real,expens,comfi,n,safari,special,quick,exact,stationari,exact,difficult,brown,younger,regular,attract,quick,flat,useless,hard,cleaner,tradit,larg,simpl,local,difficult,sturdi,tini,easiest,attract,shaki,soft,solid,bulki,narrow,colder,noisi
,correct,black,short,sour,medic,low,larg,odd,easi,similar,big,dispos,small,pure,gentl,white,afraid,care,terrif,guilti,full,accept,soft,digit,enjoi,hot,beauti,uno,expens,unsturdi,slow,youngest,smaller,multipl,hot,hot,easier,d,cheaper,real,free,regal,development,bett,excel,standard,older,electron,loos,similar,free,smaller,impress,conveni,useless,small,glad,big,huggi,local
,superior,dora,common,pink,floppi,unsaf,bulki,local,remot,random,expens,sleepless,pregnant,unsaf,easier,smooth,sturdi,handi,full,est,easier,faulti,tight,royal,satisfi,pink,quiet,forgiv,fresh,unsaf,brown,strong,black,loud,strong,greatest,expens,excit,superior,fine,low,fine,neat,sudden,fun,similar,stronger,white,bright,taller,real,enorm,big,peg,readi,aw,electr,horribl,full,unhappi
,portabl,clifford,blue,toxic,intact,fine,pricei,yeah,neutral,narrow,hot,easier,extra,sick,fuzzi,cute,small,singl,long,harass,quick,reliabl,horribl,dark,free,electron,lightweight,sceptic,full,rid,low,hard,multipl,unsturdi,greatest,strong,newborn,unus,fortun,hot,safer,anoht,larger,prettiest,attract,useless,lowest,squar,flat,flat,fantast,exact,fortun,higher,smaller,slight,close,hard,cool,prettiest
,compact,eject,opposit,aw,larger,comfi,extra,exact,previou,skeptic,regular,hard,bigger,lucki,easi,horribl,easier,funni,high,difficult,regular,wors,dark,biggest,hot,free,white,artifici,free,dissip,small,harm,regular,icred,major,hard,short,strong,young,slight,hesit,retail,low,froggi,satisfi,biggest,difficult,leaki,smaller,unsaf,difficult,cute,correct,biggest,similar,strong,enjoi,larger,brown,yeah
,expens,unsaf,strong,stiffer,flimsi,reliabl,tall,handi,pregnant,strong,long,full,exact,long,green,odd,readi,big,soft,uno,difficult,kolcraft,clear,plain,cheaper,fals,safest,fabul,big,inop,soft,chubbi,danger,crazi,messi,privat,lightweight,weak,similar,reliabl,safe,accur,wide,young,major,extra,big,floppi,young,horizont,simpl,short,fun,inexpens,easier,imposs,lower,free,cold,awar
,regular,shy,cute,expens,pregnant,natur,flat,squar,similar,hard,dark,scratchi,wireless,bellevu,flat,due,older,tiniest,safe,regal,alert,slow,sturdi,sensit,bulki,deep,nervou,dispos,lowest,safari,breastf,occasion,standard,biggest,brown,cute,neutral,neat,older,useless,intact,yeah,easi,electron,daili,usu,soft,tight,portabl,full,amaz,wors,superior,harm,cute,squar,sturdi,stylish,soft,forgiv
,afraid,red,expens,blue,free,unabl,busi,portabl,full,unsaf,safe,ordinari,hard,crazi,older,contour,wet,squirmi,cool,greasi,pure,local,due,bright,tall,soft,excit,excit,fine,mpore,singl,noisi,full,weak,solid,kiddi,hard,exact,larg,plain,easier,cute,fine,brown,horribl,older,cheer,safe,full,bright,favorit,harm,import,beauti,tall,busi,due,due,white,shock
,red,big,chilli,unabl,black,blue,regular,safe,blue,stun,effect,stabl,cheaper,decent,useless,exact,terrif,hard,simpl,extra,defect,young,sooth,angelcar,amaz,excit,larg,safer,regular,main,excit,central,mobil,smaller,free,disneyland,small,short,larger,soft,unabl,rude,green,green,impress,lighter,longer,sleigh,taller,previou,larger,thicker,awkward,previou,young,nighttim,awkward,popular,conveni,difffer
,tricki,italian,squirmi,accur,honest,pink,uncomfort,hard,bright,safe,fine,ugli,beauti,tremend,thick,flat,comfi,similar,pricei,imposs,young,storkcraft,hard,static,stabl,frequent,regular,retail,bright,overcom,pregnant,nicaragua,cute,real,real,squar,long,younger,small,unplug,snug,standard,wors,artifici,cute,expens,friendli,pure,imposs,tripl,awesom,thin,tight,easi,stabl,special,favorit,tight,small,extra
,durabl,biggest,quick,flannel,conveni,univers,handi,solid,excit,southwest,medic,larg,high,handi,young,brown,lightweight,grappl,larger,nonexist,bright,neat,afraid,rainforest,portabl,safe,dispos,univers,readi,pleasant,sharp,uncomfort,exact,safer,pink,spirit,fine,flimsi,newborn,inconsist,beauti,snug,weak,funni,readi,squar,readi,long,cool,noisi,posit,free,difficult,slow,full,electron,satisfi,previou,durabl,cold
,excit,cheaper,easi,cute,pricei,white,long,forgiv,narrow,excit,comfi,greatest,remot,godsend,small,uniqu,higher,previou,acid,se,wide,western,useless,big,brown,big,highest,asham,extra,flat,wide,standard,happier,slow,yellow,real,full,brown,plain,stupid,singl,pure,strong,older,difficult,faster,hard,free,rigid,real,cold,cheaper,lightweight,convert,close,crazi,fantast,unnecessari,overnight,long
,quick,full,newborn,comfi,sturdi,soft,durabl,slam,regular,sage,main,allign,newborn,thule,hard,forgiv,import,conveni,larg,care,expens,brown,regular,wet,bigger,upper,fine,stageseat,crook,creepi,free,singl,dry,privat,safe,accur,strong,regal,low,easier,safari,fewer,cheaper,anxiou,amaz,imposs,full,standard,pregnant,wors,excel,aw,bigger,bellevu,unus,anoht,impress,rough,pregnant,huggi
,full,stupid,toxic,prettiest,cute,beauti,wide,remot,durabl,blue,handi,regular,sturdi,real,thicker,big,ador,sick,big,cheaper,obviou,seko,newborn,simpl,heavier,standard,tall,tripl,decent,inadequ,due,invert,wide,prickli,conveni,messi,mobil,terrif,practic,low,previou,beauti,small,singl,tough,real,strang,strong,wet,extra,full,previou,heavi,anchor,thin,independ,local,standard,pricei,low
,strong,unplug,youngest,low,afford,fresh,soft,reliabl,fine,durabl,lower,accur,larger,insul,bigger,fascin,excit,pivot,effect,smoosh,black,pure,close,quiet,attract,tight,free,easier,durabl,free,cool,regular,inexpens,accur,red,hoorai,versatil,full,excess,perfumi,sharp,strang,proper,tiniest,smooth,tradit,tradit,greasi,import,potenti,smaller,confid,afraid,solid,safe,seko,short,preciou,wet,tiniest
,larg,simpl,soft,imposs,durabl,commerci,petit,pricei,young,inop,difficult,handi,clear,chrystal,handi,uno,newborn,inexpens,realist,cuatro,younger,alright,black,sick,young,breathabl,d,horribl,long,horribl,easier,dual,pregnant,baffl,low,inaccur,tradit,prettiest,true,extra,hard,elast,yellow,common,long,newer,small,taller,strong,narrow,origin,excit,handi,handi,comfi,addit,high,long,older,hot
,greatest,floppi,due,inaccur,fresh,cheaper,heavi,silli,pricei,puffi,small,prettiest,decent,reset,purpl,uncomfort,portabl,white,higher,pink,small,crazi,neutral,sooth,deep,white,long,nighttim,happier,sleigh,real,lansinoh,bathtim,inexpens,dry,excit,cheaper,vibrant,safe,fresh,tall,froggi,effect,sleigh,fine,multipl,ador,quot,happier,proud,long,blue,smaller,bulki,acid,beauti,narrow,decent,hard,bright
,flat,flimsi,safefit,regal,excit,unnecessari,huge,flat,soft,pregnant,blue,restupright,fine,ski,exact,tremend,hesit,upcom,useless,equal,handi,obviou,primari,inexpens,biggest,low,inexpens,sleek,leaki,cheaper,imposs,pure,soft,sceptic,frustrat,blue,close,colicki,singl,practic,sturdi,slipperi,readi,creepi,fortun,occasion,upper,soft,conveni,easiest,impress,logic,flat,lighter,high,unabl,compact,sleek,salin,digit
,higher,latest,larg,tripl,defect,sleek,safer,l,older,accur,simpl,real,full,tripl,safari,deep,singl,difficult,easier,unsaf,standard,sleek,noisi,scari,highest,extra,readi,tien,frustrat,useless,acid,excit,sturdi,sick,white,softer,excit,tripl,hard,accur,strong,frequent,aw,baffl,superior,comfi,solid,aw,shorter,portabl,satisfi,thick,uncomfort,sad,short,comfi,attract,sick,strong,babiesru
,fine,comfi,low,horribl,fast,intact,tight,due,danger,slight,tall,spirit,unstabl,yakima,strong,tini,busi,afraid,gross,unsturdi,useless,unabl,huge,pure,larg,beauti,black,tricki,cheaper,inaccur,huge,accur,quick,previou,gentl,odd,dispos,readjust,brown,readi,similar,forumula,earli,skeptic,imposs,terrif,free,crazi,narrow,horribl,attract,stiffer,sturdi,deep,real,thin,amaz,easi,import,colder
,difficult,readi,older,unsaf,expens,ideal,previou,wider,local,contemporari,sleepless,forgiv,quiet,lionheart,higher,similar,pregnant,flawlessli,similar,stiff,short,nation,wireless,electron,thick,thick,soft,lucki,sore,mobil,safe,reliabl,slow,black,big,slightest,tight,sleek,real,squirmi,neutral,stupid,brown,wors,natur,gripe,low,exact,previou,accur,dry,fluffi,convert,tini,spaciou,curiou,fortun,retail,true,strong
,real,signific,huge,tighter,lucki,busi,solid,pink,plush,utmost,earli,trasport,difficult,larger,readi,est,close,distort,cheaper,previou,hard,wireless,taller,young,favorit,pleasant,frustrat,unibodi,dirti,adjac,effect,anoht,simpl,tricki,quick,darker,thin,frequent,handi,irat,expens,rectangular,slow,disneyland,high,fussi,strong,neat,tini,singl,correct,heavi,peg,huge,strong,stupid,correct,obviou,dispos,defect
,narrow,strong,cool,safefit,natur,care,deep,pleasant,busi,terrif,low,white,safe,busi,squeaki,staticki,healthi,creepi,flat,popular,larg,exact,sensit,faulti,younger,imposs,pregnant,kolcraft,spare,stylish,steadi,breastf,bright,harm,aw,aw,wider,taboo,ridicul,leaki,older,remot,safe,huge,strong,smaller,portabl,upper,long,busi,fun,warm,older,easier,curiou,full,flimsi,expens,cushi,curiou
,inexpens,due,small,polycarbon,terrif,full,easiest,grave,unstabl,artifici,contour,lower,higher,uncomfort,unstabl,lucki,uncomfort,pink,real,young,remot,skeptic,long,fine,posit,flat,hot,unsturdi,biggest,tradit,long,greatest,older,lazi,cold,young,wise,funni,unabl,huggi,fine,unus,portabl,wireless,short,faceti,sturdi,squirmi,obviou,excit,wet,strong,bright,cute,cheap,due,longer,cute,gentl,religi
,long,flat,big,strang,odd,seko,close,easi,extra,short,pricei,kiddi,solid,unstabl,sharp,young,cute,horribl,low,readi,gorgeou,liquid,cool,reliabl,awesom,stylish,addit,softest,slow,baffl,mild,curv,excess,unabl,medic,forgiv,addit,horribl,free,slow,slow,nighttim,singl,taller,conveni,strong,afraid,univers,numer,wahm,cheaper,easi,regular,free,sharp,cute,bigger,cumbersom,cute,sceptic
,comfi,regular,loos,curiou,weak,asham,horribl,afraid,long,sad,super,softer,comfi,broken,thinner,short,soft,detach,expens,broken,super,shaki,super,regular,longer,ugli,easiest,froggi,stabl,biggest,horribl,squar,useless,uncomfort,long,inexpens,obviou,unabl,import,short,mobil,excit,soft,strong,tricki,easiest,leaki,sleek,durabl,intact,superior,useless,cheap,ski,older,young,fun,cheaper,easiest,inadequ
,horribl,inexpens,previou,static,hard,pleasant,tradit,inop,aw,froggi,longer,disneyland,longer,digit,snug,green,safe,grand,cheap,funni,cheap,expens,digit,audio,heavi,high,safe,beauti,due,comfi,gentl,extra,low,similar,high,quicker,slow,natur,major,safer,busi,shallow,younger,quiet,smaller,stylish,high,similar,quick,weak,regular,kiddi,smooth,retail,larger,nhtsa,solid,flimsi,upper,citru
